,endpoint,message,data
13,Historical Options,success,"{'contractID': 'IBM101120P00125000', 'symbol': 'IBM', 'expiration': '2010-11-20', 'strike': '125.00', 'type': 'put', 'last': '0.02', 'mark': '0.03', 'bid': '0.02', 'bid_size': '46', 'ask': '0.04', 'ask_size': '31', 'volume': '1821', 'open_interest': '5433', 'date': '2010-11-15', 'implied_volatility': '0.51723', 'delta': '-0.00999', 'gamma': '0.00306', 'theta': '-0.08447', 'vega': '0.00448', 'rho': '-0.00020'}"
14,Historical Options,success,"{'contractID': 'IBM101120C00130000', 'symbol': 'IBM', 'expiration': '2010-11-20', 'strike': '130.00', 'type': 'call', 'last': '13.80', 'mark': '13.73', 'bid': '13.65', 'bid_size': '180', 'ask': '13.80', 'ask_size': '29', 'volume': '54', 'open_interest': '349', 'date': '2010-11-15', 'implied_volatility': '0.45519', 'delta': '0.97128', 'gamma': '0.00857', 'theta': '-0.18592', 'vega': '0.01103', 'rho': '0.01723'}"
15,Historical Options,success,"{'contractID': 'IBM101120P00130000', 'symbol': 'IBM', 'expiration': '2010-11-20', 'strike': '130.00', 'type': 'put', 'last': '0.07', 'mark': '0.07', 'bid': '0.05', 'bid_size': '36', 'ask': '0.08', 'ask_size': '18', 'volume': '344', 'open_interest': '8494', 'date': '2010-11-15', 'implied_volatility': '0.43964', 'delta': '-0.02469', 'gamma': '0.00782', 'theta': '-0.15594', 'vega': '0.00972', 'rho': '-0.00050'}"
16,Historical Options,success,"{'contractID': 'IBM101120C00135000', 'symbol': 'IBM', 'expiration': '2010-11-20', 'strike': '135.00', 'type': 'call', 'last': '8.85', 'mark': '8.77', 'bid': '8.70', 'bid_size': '92', 'ask': '8.85', 'ask_size': '29', 'volume': '32', 'open_interest': '592', 'date': '2010-11-15', 'implied_volatility': '0.33171', 'delta': '0.94717', 'gamma': '0.01932', 'theta': '-0.22201', 'vega': '0.01812', 'rho': '0.01744'}"
17,Historical Options,success,"{'contractID': 'IBM101120P00135000', 'symbol': 'IBM', 'expiration': '2010-11-20', 'strike': '135.00', 'type': 'put', 'last': '0.11', 'mark': '0.11', 'bid': '0.10', 'bid_size': '15', 'ask': '0.12', 'ask_size': '12', 'volume': '619', 'open_interest': '9267', 'date': '2010-11-15', 'implied_volatility': '0.32257', 'delta': '-0.04818', 'gamma': '0.01846', 'theta': '-0.19803', 'vega': '0.01683', 'rho': '-0.00096'}"
18,Historical Options,success,"{'contractID': 'IBM101120C00140000', 'symbol': 'IBM', 'expiration': '2010-11-20', 'strike': '140.00', 'type': 'call', 'last': '3.90', 'mark': '3.95', 'bid': '3.90', 'bid_size': '233', 'ask': '4.00', 'ask_size': '13', 'volume': '551', 'open_interest': '2391', 'date': '2010-11-15', 'implied_volatility': '0.22013', 'delta': '0.84381', 'gamma': '0.06471', 'theta': '-0.32597', 'vega': '0.04026', 'rho': '0.01606'}"
19,Historical Options,success,"{'contractID': 'IBM101120P00140000', 'symbol': 'IBM', 'expiration': '2010-11-20', 'strike': '140.00', 'type': 'put', 'last': '0.31', 'mark': '0.30', 'bid': '0.30', 'bid_size': '32', 'ask': '0.31', 'ask_size': '11', 'volume': '2481', 'open_interest': '11447', 'date': '2010-11-15', 'implied_volatility': '0.21861', 'delta': '-0.15455', 'gamma': '0.06471', 'theta': '-0.31856', 'vega': '0.03998', 'rho': '-0.00308'}"
20,Historical Options,success,"{'contractID': 'IBM101120C00145000', 'symbol': 'IBM', 'expiration': '2010-11-20', 'strike': '145.00', 'type': 'call', 'last': '0.55', 'mark': '0.54', 'bid': '0.53', 'bid_size': '23', 'ask': '0.55', 'ask_size': '11', 'volume': '3967', 'open_interest': '10522', 'date': '2010-11-15', 'implied_volatility': '0.16114', 'delta': '0.31253', 'gamma': '0.13069', 'theta': '-0.35100', 'vega': '0.05952', 'rho': '0.00608'}"
21,Historical Options,success,"{'contractID': 'IBM101120P00145000', 'symbol': 'IBM', 'expiration': '2010-11-20', 'strike': '145.00', 'type': 'put', 'last': '1.84', 'mark': '1.89', 'bid': '1.86', 'bid_size': '11', 'ask': '1.92', 'ask_size': '26', 'volume': '1783', 'open_interest': '4109', 'date': '2010-11-15', 'implied_volatility': '0.16022', 'delta': '-0.68850', 'gamma': '0.13125', 'theta': '-0.34547', 'vega': '0.05944', 'rho': '-0.01381'}"
22,Historical Options,success,"{'contractID': 'IBM101120C00150000', 'symbol': 'IBM', 'expiration': '2010-11-20', 'strike': '150.00', 'type': 'call', 'last': '0.07', 'mark': '0.06', 'bid': '0.05', 'bid_size': '2', 'ask': '0.06', 'ask_size': '9', 'volume': '750', 'open_interest': '8124', 'date': '2010-11-15', 'implied_volatility': '0.21221', 'delta': '0.04174', 'gamma': '0.02500', 'theta': '-0.11629', 'vega': '0.01500', 'rho': '0.00081'}"
