,stock_symbol,timestamp,close,volume,ma_5,ma_10,ma_50,daily_return,intraday_volatility,prev_day_close,prev_day_return,price_diff,target
0,IBM,1999-11-01 00:00:00+05:00,96.75,9551800,,,,,,96.75,,0.0,0
1,IBM,1999-11-02 00:00:00+05:00,94.81,11105400,,,,,,94.81,,0.0,0
2,IBM,1999-11-03 00:00:00+05:00,94.37,10369100,,,,,,94.37,,0.0,0
3,IBM,1999-11-04 00:00:00+05:00,91.56,16697600,,,,,,91.56,,0.0,0
4,IBM,1999-11-05 00:00:00+05:00,90.25,13737600,,,,,,90.25,,0.0,0
5,IBM,1999-11-08 00:00:00+05:00,93.94,8522300,,,,,,93.94,,0.0,0
6,IBM,1999-11-09 00:00:00+05:00,93.62,9551200,,,,,,93.62,,0.0,0
7,IBM,1999-11-10 00:00:00+05:00,97.0,8680300,,,,,,97.0,,0.0,0
8,IBM,1999-11-11 00:00:00+05:00,95.0,7147500,,,,,,95.0,,0.0,0
9,IBM,1999-11-12 00:00:00+05:00,95.87,9668400,,,,,,95.87,,0.0,0
10,IBM,1999-11-15 00:00:00+05:00,94.06,6259400,,,,,,94.06,,0.0,0
11,IBM,1999-11-16 00:00:00+05:00,94.62,8537400,,,,,,94.62,,0.0,0
12,IBM,1999-11-17 00:00:00+05:00,93.75,8355100,,,,,,93.75,,0.0,0
13,IBM,1999-11-18 00:00:00+05:00,98.0,18720500,,,,,,98.0,,0.0,0
14,IBM,1999-11-19 00:00:00+05:00,103.94,19678400,,,,,,103.94,,0.0,0
15,IBM,1999-11-22 00:00:00+05:00,107.87,13681600,,,,,,107.87,,0.0,0
16,IBM,1999-11-23 00:00:00+05:00,106.06,10665200,,,,,,106.06,,0.0,0
17,IBM,1999-11-24 00:00:00+05:00,104.5,9710400,,,,,,104.5,,0.0,0
18,IBM,1999-11-26 00:00:00+05:00,105.0,3108400,,,,,,105.0,,0.0,0
19,IBM,1999-11-29 00:00:00+05:00,104.19,5677700,,,,,,104.19,,0.0,0
20,IBM,1999-11-30 00:00:00+05:00,103.06,5758700,,,,,,103.06,,0.0,0
21,IBM,1999-12-01 00:00:00+05:00,103.42,5336400,,,,,,103.42,,0.0,0
22,IBM,1999-12-02 00:00:00+05:00,105.27,6216900,,,,,,105.27,,0.0,0
23,IBM,1999-12-03 00:00:00+05:00,111.87,14680300,,,,,,111.87,,0.0,0
24,IBM,1999-12-06 00:00:00+05:00,116.0,9928300,,,,,,116.0,,0.0,0
25,IBM,1999-12-07 00:00:00+05:00,116.62,11326100,,,,,,116.62,,0.0,0
26,IBM,1999-12-08 00:00:00+05:00,118.28,8139800,,,,,,118.28,,0.0,0
