stock_symbol,timestamp,open,high,low,close,volume,ma_5,ma_10,ma_50,daily_return
IBM,2024-10-16,232.11,233.88,231.12,233.67,2846669,233.63400000000001,230.69300000000004,,0.003047733516483353
IBM,2024-10-17,232.0,233.145,230.655,232.88,5040092,233.606,231.70899999999997,,-0.003380836222022454
IBM,2024-10-18,231.92,232.6499,230.17,232.2,4715688,233.394,232.329,,-0.0029199587770525337
IBM,2024-10-21,231.21,232.42,230.26,231.75,2733336,232.692,232.792,,-0.0019379844961240345
IBM,2024-10-22,231.99,232.97,230.67,232.25,3180807,232.55,233.15500000000003,,0.0021574973031284195
IBM,2024-10-23,230.41,233.34,230.26,232.75,5791002,232.36599999999999,233.0,,0.0021528525296017342
IBM,2024-10-24,220.8,221.32,216.16,218.39,11193440,229.46800000000002,231.53699999999998,,-0.06169709989258865
IBM,2024-10-25,216.8,218.65,214.385,214.67,8482235,225.962,229.67800000000003,,-0.017033746966436225
IBM,2024-10-28,215.5,216.25,212.7,212.91,4993343,222.19400000000002,227.44299999999998,,-0.008198630456048739
IBM,2024-10-29,211.99,213.34,209.85,210.43,5258366,217.83,225.18999999999997,,-0.011648114226668449
IBM,2024-10-30,209.48,211.12,204.26,204.9,6956624,212.26,222.31300000000002,,-0.02627952288171842
IBM,2024-10-31,204.13,208.13,203.51,206.72,5925250,209.92600000000002,219.69699999999997,,0.008882381649585103
IBM,2024-11-01,207.77,209.84,207.41,208.25,3334308,208.642,217.302,,0.0074013157894736725
IBM,2024-11-04,207.65,207.7,205.8,206.32,2594119,207.32399999999998,214.75900000000001,,-0.009267707082833199
IBM,2024-11-05,206.17,208.115,205.57,207.57,2441535,206.752,212.291,,0.006058549825513682
IBM,2024-11-06,213.48,214.33,210.37,213.6,3934386,208.49200000000002,210.37600000000003,,0.029050440815146628
IBM,2024-11-07,213.64,214.5199,211.93,213.69,3675812,209.88600000000002,209.906,,0.0004213483146067176
IBM,2024-11-08,214.16,216.7,212.7809,213.72,3201038,210.98000000000002,209.81099999999998,,0.0001403902849923533
IBM,2024-11-11,214.4,215.41,213.48,213.57,3012987,212.43,209.877,,-0.0007018528916339362
IBM,2024-11-12,211.9,213.03,209.06,210.86,2818216,213.08800000000002,209.92,,-0.01268904808727811
IBM,2024-11-13,209.5,211.41,209.0701,210.92,3247830,212.552,210.522,,0.0002845489898508635
IBM,2024-11-14,210.0,210.4999,206.35,208.99,6372853,211.612,210.74900000000002,,-0.009150388772994344
IBM,2024-11-15,207.46,208.49,204.07,204.99,3986460,209.86599999999999,210.423,,-0.019139671754629384
IBM,2024-11-18,207.0,208.415,205.3701,208.09,3406045,208.77000000000004,210.6,,0.015122688911654247
IBM,2024-11-19,206.5,210.33,206.19,210.25,2860746,208.648,210.868,,0.010380123984814249
IBM,2024-11-20,211.0,214.96,209.7725,214.6,4562901,209.38400000000001,210.96800000000002,,0.020689655172413834
IBM,2024-11-21,215.81,222.63,215.2701,222.4,5236434,212.06599999999997,211.839,,0.0363466915191053
IBM,2024-11-22,223.35,227.2,220.89,222.97,5320740,215.66199999999998,212.76399999999998,,0.002562949640287693
IBM,2024-11-25,223.35,226.42,222.65,226.13,7189260,219.27000000000004,214.02000000000004,,0.014172310176256975
IBM,2024-11-26,226.73,228.98,225.5115,228.83,4449543,222.98600000000002,215.817,219.9238,0.01194003449343306
IBM,2024-11-27,228.83,229.19,224.27,226.92,2995121,225.45,217.417,220.1634,-0.008346807673819123
IBM,2024-11-29,227.75,230.36,227.19,227.41,2640253,226.452,219.25900000000001,220.43380000000002,0.002159351313238078
IBM,2024-12-02,227.5,228.38,225.51,227.39,2656181,227.336,221.49900000000002,220.62759999999997,-8.794688008451068e-05
IBM,2024-12-03,227.24,229.11,226.67,229.0,3163815,227.91,223.59,220.7976,0.007080346541184834
IBM,2024-12-04,230.0,233.74,229.35,233.49,4104195,228.842,225.914,221.048,0.019606986899563417
IBM,2024-12-05,233.55,236.52,233.46,234.75,4791116,230.408,227.929,221.3184,0.0053963767184890266
IBM,2024-12-06,234.43,238.38,234.22,238.04,4028430,232.53399999999996,229.493,221.6106,0.014014909478168303
IBM,2024-12-09,238.0,239.35,228.91,230.0,4970449,233.05599999999998,230.196,221.7938,-0.03377583599395051
IBM,2024-12-10,228.4,234.39,227.8,231.72,4769531,233.6,230.75500000000002,222.0066,0.0074782608695651565
IBM,2024-12-11,232.69,233.0,229.13,230.12,3872680,232.92600000000002,230.88400000000001,222.222,-0.0069048852062834065
IBM,2024-12-12,230.66,233.89,230.38,232.26,4515741,232.42800000000003,231.41799999999998,222.47259999999997,0.00929949591517465
IBM,2024-12-13,232.25,233.775,230.26,230.82,2757683,230.984,231.75900000000001,222.63460000000003,-0.006199948333763916
IBM,2024-12-16,230.73,231.03,226.88,229.33,3610257,230.85,231.95299999999997,222.70120000000003,-0.006455246512433899
IBM,2024-12-17,229.23,230.2,227.62,228.97,3651346,230.3,231.95,222.7382,-0.0015697902585793955
IBM,2024-12-18,229.035,229.035,220.03,220.17,4152517,228.31,230.618,222.5692,-0.038432982486788725
IBM,2024-12-19,224.42,226.2,222.98,223.92,4430120,226.642,229.535,222.3616,0.017032293227960293
IBM,2024-12-20,222.73,227.6847,221.68,223.36,12423200,225.15,228.067,222.1684,-0.0025008931761342224
IBM,2024-12-23,222.81,223.74,221.08,221.93,2988137,223.67,227.26,221.94179999999997,-0.006402220630372546
IBM,2024-12-24,222.27,224.4446,221.5428,224.41,1186216,222.75799999999998,226.529,221.72480000000004,0.011174694723561363
IBM,2024-12-26,223.31,225.4,222.55,224.89,3287238,223.702,226.006,221.5634,0.0021389421148789722
IBM,2024-12-27,223.14,224.42,221.4054,222.78,1810760,223.474,225.058,221.3456,-0.009382364711636781
IBM,2024-12-30,220.54,221.5942,217.6523,220.25,2095565,222.852,224.00100000000003,221.09300000000002,-0.011356495197055394
IBM,2024-12-31,220.72,221.0493,218.44,219.83,2270512,222.43199999999996,223.05100000000002,220.84560000000002,-0.0019069239500566493
IBM,2025-01-02,221.82,222.49,217.6,219.94,2579498,221.538,222.148,220.6094,0.0005003866624209152
IBM,2025-01-03,220.55,223.66,220.55,222.65,3873578,221.09,222.39600000000002,220.4174,0.012321542238792338
IBM,2025-01-06,223.0,224.35,220.75,222.67,2847128,221.06799999999998,222.27100000000002,220.21579999999997,8.982708286531249e-05
IBM,2025-01-07,223.35,226.711,222.83,223.96,3299701,221.81,222.331,220.3272,0.00579332644720898
IBM,2025-01-08,223.91,224.9,220.83,223.18,2619768,222.48000000000002,222.456,220.49740000000003,-0.003482764779424885
IBM,2025-01-10,222.0,222.43,216.8,219.75,3570497,222.442,221.99,220.63420000000002,-0.015368760641634616
IBM,2025-01-13,217.89,219.59,214.75,217.4,3716816,221.392,221.24099999999999,220.77360000000002,-0.010693970420932897
IBM,2025-01-14,218.0,218.125,214.61,217.75,3485829,220.408,220.738,221.03060000000002,0.0016099356025758293
IBM,2025-01-15,220.87,221.6761,218.01,220.03,2951825,219.62199999999999,220.71599999999998,221.2968,0.010470723306544194
IBM,2025-01-16,219.69,222.68,217.38,222.66,3329060,219.51799999999997,220.99900000000002,221.585,0.011952915511521223
IBM,2025-01-17,225.955,225.955,223.64,224.79,5506837,220.526,221.484,221.9544,0.009566154675289651
