,stock_symbol,timestamp,close,volume,ma_5,ma_10,ma_50,daily_return,intraday_volatility,prev_day_close,prev_day_return,price_diff,target
0,IBM,1999-11-01 00:00:00+05:00,96.75,9551800,96.75,96.75,96.75,,,96.75,,0.0,0
1,IBM,1999-11-02 00:00:00+05:00,94.81,11105400,95.78,95.78,95.78,-0.020051679586563283,,94.81,-0.020051679586563283,0.0,0
2,IBM,1999-11-03 00:00:00+05:00,94.37,10369100,95.31,95.31,95.31,-0.004640860668705809,,94.37,-0.004640860668705809,0.0,0
3,IBM,1999-11-04 00:00:00+05:00,91.56,16697600,94.3725,94.3725,94.3725,-0.029776411995337523,,91.56,-0.029776411995337523,0.0,0
4,IBM,1999-11-05 00:00:00+05:00,90.25,13737600,93.548,93.548,93.548,-0.014307557885539562,,90.25,-0.014307557885539562,0.0,0
5,IBM,1999-11-08 00:00:00+05:00,93.94,8522300,92.986,93.61333333333334,93.61333333333334,0.04088642659279776,,93.94,0.04088642659279776,0.0,1
6,IBM,1999-11-09 00:00:00+05:00,93.62,9551200,92.748,93.61428571428573,93.61428571428573,-0.0034064296359377602,,93.62,-0.0034064296359377602,0.0,0
7,IBM,1999-11-10 00:00:00+05:00,97.0,8680300,93.274,94.03750000000001,94.03750000000001,0.03610339671010463,,97.0,0.03610339671010463,0.0,1
8,IBM,1999-11-11 00:00:00+05:00,95.0,7147500,93.962,94.14444444444445,94.14444444444445,-0.020618556701030927,,95.0,-0.020618556701030927,0.0,0
9,IBM,1999-11-12 00:00:00+05:00,95.87,9668400,95.086,94.31700000000001,94.31700000000001,0.009157894736842153,,95.87,0.009157894736842153,0.0,1
10,IBM,1999-11-15 00:00:00+05:00,94.06,6259400,95.11,94.048,94.29363636363637,-0.018879732971732576,,94.06,-0.018879732971732576,0.0,0
11,IBM,1999-11-16 00:00:00+05:00,94.62,8537400,95.31,94.02900000000001,94.32083333333333,0.00595364660854776,,94.62,0.00595364660854776,0.0,1
12,IBM,1999-11-17 00:00:00+05:00,93.75,8355100,94.66,93.967,94.27692307692307,-0.009194673430564411,,93.75,-0.009194673430564411,0.0,0
13,IBM,1999-11-18 00:00:00+05:00,98.0,18720500,95.26,94.611,94.54285714285713,0.04533333333333334,,98.0,0.04533333333333334,0.0,1
14,IBM,1999-11-19 00:00:00+05:00,103.94,19678400,96.874,95.97999999999999,95.16933333333333,0.06061224489795916,,103.94,0.06061224489795916,0.0,1
15,IBM,1999-11-22 00:00:00+05:00,107.87,13681600,99.636,97.37300000000002,95.96312499999999,0.03781027515874549,,107.87,0.03781027515874549,0.0,1
16,IBM,1999-11-23 00:00:00+05:00,106.06,10665200,101.924,98.617,96.5570588235294,-0.016779456753499605,,106.06,-0.016779456753499605,0.0,0
17,IBM,1999-11-24 00:00:00+05:00,104.5,9710400,104.074,99.367,96.99833333333332,-0.014708655478031324,,104.5,-0.014708655478031324,0.0,0
18,IBM,1999-11-26 00:00:00+05:00,105.0,3108400,105.474,100.367,97.41947368421052,0.004784688995215311,,105.0,0.004784688995215311,0.0,1
19,IBM,1999-11-29 00:00:00+05:00,104.19,5677700,105.524,101.199,97.758,-0.007714285714285736,,104.19,-0.007714285714285736,0.0,0
20,IBM,1999-11-30 00:00:00+05:00,103.06,5758700,104.56199999999998,102.099,98.01047619047618,-0.010845570592187307,,103.06,-0.010845570592187307,0.0,0
21,IBM,1999-12-01 00:00:00+05:00,103.42,5336400,104.03399999999999,102.979,98.25636363636363,0.003493110809237332,,103.42,0.003493110809237332,0.0,1
